"corpus"	"verbs"	"model"	"topics"	"run"	"perplexity"	"zerotopics"	"average_perplexity"	"var_ppl"	"dev_ppl"
"02-main.dev"	"recursive"	"verbargs"	500	1	296.98353683820267	0	298.5101096829752	9.474351092214171	3.07804338699346
"02-main.dev"	"recursive"	"verbargs"	500	2	296.4937319881674	0	298.5101096829752	9.474351092214171	3.07804338699346
"02-main.dev"	"recursive"	"verbargs"	500	3	302.0530602225556	0	298.5101096829752	9.474351092214171	3.07804338699346
"02-main.dev"	"recursive"	"verbargs"	1000	1	297.17269813974093	0	299.2465629080985	3.6960503525022554	1.9225114700573975
"02-main.dev"	"recursive"	"verbargs"	1000	2	299.5976643769445	0	299.2465629080985	3.6960503525022554	1.9225114700573975
"02-main.dev"	"recursive"	"verbargs"	1000	3	300.96932620761004	0	299.2465629080985	3.6960503525022554	1.9225114700573975
"02-main.dev"	"recursive"	"verbchain"	50	1	525.9597691214649	0	524.6170048263801	2.287115731183352	1.5123213055377327
"02-main.dev"	"recursive"	"verbchain"	50	2	522.9787443167531	0	524.6170048263801	2.287115731183352	1.5123213055377327
"02-main.dev"	"recursive"	"verbchain"	50	3	524.9125010409226	0	524.6170048263801	2.287115731183352	1.5123213055377327
"02-main.dev"	"recursive"	"verbchain"	100	1	517.180034813275	0	516.6236865029368	3.817934694970767	1.9539536061459513
"02-main.dev"	"recursive"	"verbchain"	100	2	518.2391311354752	0	516.6236865029368	3.817934694970767	1.9539536061459513
"02-main.dev"	"recursive"	"verbchain"	100	3	514.4518935600603	0	516.6236865029368	3.817934694970767	1.9539536061459513
"02-main.dev"	"recursive"	"verbchain"	500	1	496.20401998765396	36	496.15138374107346	0.18298087699505344	0.4277626409529629
"02-main.dev"	"recursive"	"verbchain"	500	2	496.55039248756043	38	496.15138374107346	0.18298087699505344	0.4277626409529629
"02-main.dev"	"recursive"	"verbchain"	500	3	495.699738748006	35	496.15138374107346	0.18298087699505344	0.4277626409529629
